"","ano","id_regiao","regiao","sigla_uf","pib_corrente_1_000","pib_per_capita_1_00","servicos_gov_1_000"
"276",2010,1,"Norte","PA",338330,6566.07,69270
"277",2010,1,"Norte","PA",98324,4295.48,11897
"278",2010,1,"Norte","PA",54126,10724.45,13564
"279",2010,1,"Norte","PA",57736,4441.94,9463
"280",2010,1,"Norte","PA",86847,3776.8,24701
"281",2010,1,"Norte","PA",422201,5324.16,106041
"282",2010,1,"Norte","PA",34897,3403.26,6693
"283",2010,1,"Norte","PA",71984,4246.36,14881
"284",2010,1,"Norte","PA",335913,5943.89,82014
"285",2010,1,"Norte","PA",95703,3484.42,13457
"286",2010,1,"Norte","PA",103515,6130.6,19313
"287",2010,1,"Norte","PA",348358,10352.08,119858
"288",2010,1,"Norte","PA",2566105,26425,296431
"289",2010,1,"Norte","PA",545230,12578.85,67515
"290",2010,1,"Norte","PA",294588,4919.56,65797
"291",2010,1,"Norte","PA",180174,3761.31,51789
"292",2010,1,"Norte","PA",237509,4190.27,34428
"293",2010,1,"Norte","PA",92756,6881.03,14004
"294",2010,1,"Norte","PA",500256,12329.78,190464
"295",2010,1,"Norte","AP",37563,8519.72,7165
"296",2010,1,"Norte","AP",77628,9697.4,15068
"297",2010,1,"Norte","AP",171959,15962.07,38906
"298",2010,1,"Norte","AP",83485,9313.41,17063
"299",2010,1,"Norte","AP",39502,8524.48,4040
"300",2010,1,"Norte","AP",69508,12042.21,10302
"301",2010,1,"Norte","AP",32633,7647.71,2866
"302",2010,1,"Norte","AP",346803,8712.54,95650
"303",2010,1,"Norte","AP",5503896,13831.91,2484875
"304",2010,1,"Norte","AP",150946,8863.52,19292
"305",2010,1,"Norte","AP",193371,9466.92,53203
"306",2010,1,"Norte","AP",211985,12599.43,35973
"307",2010,1,"Norte","AP",37126,9813.84,3185
"308",2010,1,"Norte","AP",1075428,10626.45,335625
"309",2010,1,"Norte","AP",101676,8176.59,10294
"310",2010,1,"Norte","AP",104285,8379.7,16309
"311",2010,1,"Norte","TO",16234,6801.19,2404
"312",2010,1,"Norte","TO",65256,12651.5,24163
"313",2010,1,"Norte","TO",46764,8257.79,11439
"314",2010,1,"Norte","TO",62942,8287.33,8820
"315",2010,1,"Norte","TO",144372,17228.15,36197
"316",2010,1,"Norte","TO",61771,6256.56,16478
"317",2010,1,"Norte","TO",25223,7959.39,3487
"318",2010,1,"Norte","TO",32141,7628.97,5737
"319",2010,1,"Norte","TO",34844,5923.83,3865
"320",2010,1,"Norte","TO",37094,5872.07,6252
"321",2010,1,"Norte","TO",97398,11085.54,22421
"322",2010,1,"Norte","TO",1980668,13158.83,941162
"323",2010,1,"Norte","TO",37212,7398.08,6835
"324",2010,1,"Norte","TO",193361,6172.94,53954
"325",2010,1,"Norte","TO",54103,8024.7,11787
"326",2010,1,"Norte","TO",117229,11014.64,19803
"327",2010,1,"Norte","TO",101686,6369.28,31993
"328",2010,1,"Norte","TO",21789,6322.88,3274
"329",2010,1,"Norte","TO",52291,5637.87,12632
"330",2010,1,"Norte","TO",58612,5610.98,8181
"331",2010,1,"Norte","TO",45296,14499.46,5933
"332",2010,1,"Norte","TO",25458,6174.64,3141
"333",2010,1,"Norte","TO",38099,7126.68,9326
"334",2010,1,"Norte","TO",37848,8472.75,5642
"335",2010,1,"Norte","TO",28849,7656.38,4076
"336",2010,1,"Norte","TO",18970,9182.11,3386
"337",2010,1,"Norte","TO",48612,9370.16,8798
"338",2010,1,"Norte","TO",49310,5047.09,11905
"339",2010,1,"Norte","TO",13097,6097.27,2088
"340",2010,1,"Norte","TO",161233,19809.89,36385
"341",2010,1,"Norte","TO",63927,17028.96,24555
"342",2010,1,"Norte","TO",20878,9057.65,4141
"343",2010,1,"Norte","TO",19058,5164.79,3154
"344",2010,1,"Norte","TO",28715,6241.14,5727
"345",2010,1,"Norte","TO",15279,5956.67,2094
"346",2010,1,"Norte","TO",11127,8335.08,1240
"347",2010,1,"Norte","TO",27637,8426.03,4583
"348",2010,1,"Norte","TO",314491,10184.62,120400
"349",2010,1,"Norte","TO",29499,6317.98,7765
"350",2010,1,"Norte","TO",25437,6082.46,5995
"351",2010,1,"Norte","TO",38466,7679.44,9671
"352",2010,1,"Norte","TO",54393,7535.7,15522
"353",2010,1,"Norte","TO",18920,12082,3353
"354",2010,1,"Norte","TO",39959,7577.99,8624
"355",2010,1,"Norte","TO",264357,13833.45,67952
"356",2010,1,"Norte","TO",51343,8069.06,13670
"357",2010,1,"Norte","TO",46594,6506.67,6251
"358",2010,1,"Norte","TO",55729,12144.03,5854
"359",2010,1,"Norte","TO",44966,4745.21,6516
"360",2010,1,"Norte","TO",33906,8910.92,9933
"361",2010,1,"Norte","TO",69695,13051.43,22704
"362",2010,1,"Norte","TO",59687,7020.31,12093
"363",2010,1,"Norte","TO",214558,11643.06,51993
"364",2010,1,"Norte","TO",59252,24454.05,30875
"365",2010,1,"Norte","TO",33663,6786.93,5870
"366",2010,1,"Norte","TO",77204,6399.55,10849
"367",2010,1,"Norte","TO",277727,11964.82,118633
"368",2010,1,"Norte","TO",1234374,16079.9,527002
"369",2010,1,"Norte","TO",15536,9478.67,2191
"370",2010,1,"Norte","TO",49459,6962.15,9789
"371",2010,1,"Norte","TO",33169,5501.5,5080
"372",2010,1,"Norte","TO",29689,8400.98,4168
"373",2010,1,"Norte","TO",22390,9180.19,2742
"374",2010,1,"Norte","TO",26878,7664.01,4280
"375",2010,1,"Norte","TO",14853,6657.66,2478
"376",2010,1,"Norte","TO",170220,16663.74,32058
"377",2010,1,"Norte","TO",17744,5033.83,2692
"378",2010,1,"Norte","TO",29084,10488.29,6725
"379",2010,1,"Norte","TO",29817,18577.84,2949
